PAHs,CAS,PNEC,Unit,Source,Ref
Benzene,NA,8.9E+02,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Toluene,NA,3.3E+02,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Benz(a)anthracene,56-55-3,7.2E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Benzo(a)pyrene,50-32-8,2.9E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Benzo(b)fluoranthene,205-99-2,2.9E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Benzo(k)fluoranthene,207-08-9,2.9E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Chrysene,218-01-9,7.2E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
"Dibenzo(a,h)anthracene",53-70-3,3.2E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
"Indeno(1,2,3-cd)pyrene",193-39-5,3.2E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Acenaphthene,83-32-9,8.4E+00,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Acenaphthylene,208-96-8,1.3E+01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Anthracene,120-12-7,6.4E+00,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Benzo(ghi)perylene,191-24-2,3.2E-01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Fluoranthene,206-44-0,2.2E+00,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Fluorene,86-73-7,1.2E+01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Naphthalene,91-20-3,5.4E+01,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Phenanthrene,85-01-8,6.4E+00,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
Pyrene,129-00-0,2.2E+00,ug/L,PETRORISK tool v7.04,https://www.concawe.eu/reach/petrorisk/ 
