"","test","LOQ.type","Exclusion.CAS","freq","Substance"
"1","Chronic","LOQ.T0","Excluded_Metals",0.378476420798065,"Ibuprofen"
"2","Chronic","LOQ.T0","Excluded_Metals",0.331318016928658,"Chlorpyrifos"
"3","Chronic","LOQ.T0","Excluded_Metals",0.325272067714631,"Diclofenac"
"4","Chronic","LOQ.T0","Excluded_Metals",0.243047158403869,"Isoproturon"
"5","Chronic","LOQ.T0","Excluded_Metals",0.192261185006046,"diuron"
"6","Chronic","LOQ.T0","Excluded_Metals",0.175332527206771,"Caffeine"
"7","Chronic","LOQ.T0","Excluded_Metals",0.090689238210399,"Benzo(b)fluorantheen"
"8","Chronic","LOQ.T0","Excluded_Metals",0.0870616686819831,"Erythromycin"
"9","Chronic","LOQ.T0","Excluded_Metals",0.0822249093107618,"Tributyltin (kation)"
"10","Chronic","LOQ.T0","Excluded_Metals",0.0652962515114873,"Metolachlor"
"11","Chronic","LOQ.T0","Excluded_Metals",0.0628778718258767,"Endrin"
"12","Chronic","LOQ.T0","Excluded_Metals",0.0616686819830713,"Terbuthylazine"
"13","Chronic","LOQ.T0","Excluded_Metals",0.0568319226118501,"Diazinon"
"14","Chronic","LOQ.T0","Excluded_Metals",0.0423216444981862,"Benzo(a)pyreen"
"15","Chronic","LOQ.T0","Excluded_Metals",0.0423216444981862,"Bis(2-ethylhexyl) phthalate"
"16","Chronic","LOQ.T0","Excluded_Metals",0.0386940749697703,"Azitromycin"
"17","Chronic","LOQ.T0","Excluded_Metals",0.0362756952841596,"DDT"
"18","Chronic","LOQ.T0","Excluded_Metals",0.0362756952841596,"Cypermethrin | Zeta-cypermethrin"
"19","Chronic","LOQ.T0","Excluded_Metals",0.0326481257557437,"Irgarol"
"20","Chronic","LOQ.T0","Excluded_Metals",0.0314389359129383,"Dibutylstannane"
"21","Chronic","LOQ.T0","Excluded_Metals",0.030229746070133,"Terbutryn"
"22","Chronic","LOQ.T0","Excluded_Metals",0.0241837968561064,"Deethylatrazine"
"23","Chronic","LOQ.T0","Excluded_Metals",0.0229746070133011,"Linuron"
"24","Chronic","LOQ.T0","Excluded_Metals",0.0217654171704958,"Aldrin"
"25","Chronic","LOQ.T0","Excluded_Metals",0.0205562273276904,"imidacloprid"
"26","Chronic","LOQ.T0","Excluded_Metals",0.0181378476420798,"Malathion"
"27","Chronic","LOQ.T0","Excluded_Metals",0.0145102781136638,"Benzo(ghi)peryleen"
"28","Chronic","LOQ.T0","Excluded_Metals",0.0145102781136638,"Lindane"
"29","Chronic","LOQ.T0","Excluded_Metals",0.0145102781136638,"Endosulfan"
"30","Chronic","LOQ.T0","Excluded_Metals",0.0145102781136638,"DDD"
"31","Chronic","LOQ.T0","Excluded_Metals",0.0133010882708585,"4-Nonylphenol"
"32","Chronic","LOQ.T0","Excluded_Metals",0.0133010882708585,"Parathion-ethyl"
"33","Chronic","LOQ.T0","Excluded_Metals",0.0133010882708585,"Naphthalene"
"34","Chronic","LOQ.T0","Excluded_Metals",0.0120918984280532,"4-(1,1,3,3-Tetramethylbutyl)phenol"
"35","Chronic","LOQ.T0","Excluded_Metals",0.0120918984280532,"Simazine"
"36","Chronic","LOQ.T0","Excluded_Metals",0.0120918984280532,"Karbamazepin"
"37","Chronic","LOQ.T0","Excluded_Metals",0.0108827085852479,"indeno(123cd)pyreen"
"38","Chronic","LOQ.T0","Excluded_Metals",0.0108827085852479,"alpha-Endosulfan"
"39","Chronic","LOQ.T0","Excluded_Metals",0.0108827085852479,"Ethinylestradiol"
"40","Chronic","LOQ.T0","Excluded_Metals",0.0108827085852479,"beta-Endosulfan"
