"","test","LOQ.type","Exclusion.CAS","freq","Substance"
"1","Chronic","LOQ.T0","Excluded_Metals",0.427704752275025,"Isoproturon"
"2","Chronic","LOQ.T0","Excluded_Metals",0.244354566902595,"Benzo(b)fluorantheen"
"3","Chronic","LOQ.T0","Excluded_Metals",0.225143242332322,"Ibuprofen"
"4","Chronic","LOQ.T0","Excluded_Metals",0.222109875294911,"diuron"
"5","Chronic","LOQ.T0","Excluded_Metals",0.192787327266599,"Diclofenac"
"6","Chronic","LOQ.T0","Excluded_Metals",0.185372430064038,"Chlorpyrifos"
"7","Chronic","LOQ.T0","Excluded_Metals",0.168857431749242,"Benzo(a)pyreen"
"8","Chronic","LOQ.T0","Excluded_Metals",0.121671722278396,"Caffeine"
"9","Chronic","LOQ.T0","Excluded_Metals",0.0903269295584766,"Metolachlor"
"10","Chronic","LOQ.T0","Excluded_Metals",0.0889787664307381,"Tributyltin (kation)"
"11","Chronic","LOQ.T0","Excluded_Metals",0.0802157061004382,"Terbuthylazine"
"12","Chronic","LOQ.T0","Excluded_Metals",0.0589821368385575,"Bis(2-ethylhexyl) phthalate"
"13","Chronic","LOQ.T0","Excluded_Metals",0.0485338725985844,"indeno(123cd)pyreen"
"14","Chronic","LOQ.T0","Excluded_Metals",0.0431412200876306,"DDT"
"15","Chronic","LOQ.T0","Excluded_Metals",0.0414560161779575,"Endrin"
"16","Chronic","LOQ.T0","Excluded_Metals",0.0387596899224806,"Terbutryn"
"17","Chronic","LOQ.T0","Excluded_Metals",0.0364004044489383,"Benzo(ghi)peryleen"
"18","Chronic","LOQ.T0","Excluded_Metals",0.0303336703741153,"Erythromycin"
"19","Chronic","LOQ.T0","Excluded_Metals",0.0299966295921807,"Deethylatrazine"
"20","Chronic","LOQ.T0","Excluded_Metals",0.0269632625547691,"Linuron"
"21","Chronic","LOQ.T0","Excluded_Metals",0.0266262217728345,"Atrazine"
"22","Chronic","LOQ.T0","Excluded_Metals",0.0249410178631614,"Diazinon"
"23","Chronic","LOQ.T0","Excluded_Metals",0.0202224469160768,"Irgarol"
"24","Chronic","LOQ.T0","Excluded_Metals",0.0185372430064038,"4-(1,1,3,3-Tetramethylbutyl)phenol"
"25","Chronic","LOQ.T0","Excluded_Metals",0.0185372430064038,"Metribuzin"
"26","Chronic","LOQ.T0","Excluded_Metals",0.0178631614425345,"DDD"
"27","Chronic","LOQ.T0","Excluded_Metals",0.0171890798786653,"Simazine"
"28","Chronic","LOQ.T0","Excluded_Metals",0.0168520390967307,"imidacloprid"
"29","Chronic","LOQ.T0","Excluded_Metals",0.0151668351870576,"Cypermethrin | Zeta-cypermethrin"
"30","Chronic","LOQ.T0","Excluded_Metals",0.0151668351870576,"4-Nonylphenol, Branched"
"31","Chronic","LOQ.T0","Excluded_Metals",0.014829794405123,"Malathion"
"32","Chronic","LOQ.T0","Excluded_Metals",0.0138186720593192,"Lindane"
"33","Chronic","LOQ.T0","Excluded_Metals",0.0134816312773846,"Benzo(k)fluorantheen"
"34","Chronic","LOQ.T0","Excluded_Metals",0.0117964273677115,"MCPA"
"35","Chronic","LOQ.T0","Excluded_Metals",0.0111223458038423,"C10-C13 Chlooralkanen"
"36","Chronic","LOQ.T0","Excluded_Metals",0.0111223458038423,"alpha-Endosulfan"
"37","Chronic","LOQ.T0","Excluded_Metals",0.010448264239973,"Fluoranthene"
"38","Chronic","LOQ.T0","Excluded_Metals",0.010448264239973,"Carbofuran"
"39","Chronic","LOQ.T0","Excluded_Metals",0.0101112234580384,"Dibutylstannane"
"40","Chronic","LOQ.T0","Excluded_Metals",0.0101112234580384,"Naphthalene"
