"","CAS.y.y","Substance","Nmeasured","Ndetected","LOQ.minimum","LOQ.q1","LOQ.median","LOQ.mean","LOQ.q3","LOQ.maximum","LOQ","Max.Conc.minimum","Max.Conc.q1","Max.Conc.median","Max.Conc.mean","Max.Conc.q3","Max.Conc.maximum","HQ.Chronic.Mean.minimum","HQ.Chronic.Mean.q1","HQ.Chronic.Mean.median","HQ.Chronic.Mean.mean","HQ.Chronic.Mean.q3","HQ.Chronic.Mean.maximum","HQ.Acute.Mean.minimum","HQ.Acute.Mean.q1","HQ.Acute.Mean.median","HQ.Acute.Mean.mean","HQ.Acute.Mean.q3","HQ.Acute.Mean.maximum","HQ.Chronic.Max.minimum","HQ.Chronic.Max.q1","HQ.Chronic.Max.median","HQ.Chronic.Max.mean","HQ.Chronic.Max.q3","HQ.Chronic.Max.maximum","HQ.Acute.Max.minimum","HQ.Acute.Max.q1","HQ.Acute.Max.median","HQ.Acute.Max.mean","HQ.Acute.Max.q3","HQ.Acute.Max.maximum","HC50.Acute","HC05.Chronic"
"1","100-00-5","1-Chloro-4-nitrobenzene",26,2,0.01,0.01,0.0415,0.0323461538461539,0.05,0.05,0.01,0.01,0.01,0.0415,0.0342692307692308,0.05,0.08,0,0,0,6.79941954969746e-05,0,0.00088392454146067,0,0,0,6.77825512465113e-07,0,9.39918043951623e-06,0,0,0,0.000101991293245462,0,0.00141427926633707,0,0,0,6.77825512465113e-07,0,9.39918043951623e-06,8511.38038202377,56.5659144584626
"2","100-02-7","4-Nitrophenol",6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.516666666666667,0.5,0.6,0,0,0,0.000598289373515936,0,0.00358973624109561,0,0,0,7.94328234724282e-06,0,4.76596940834569e-05,0,0,0,0.00112179257534238,0,0.00673075545205428,0,0,0,7.94328234724282e-06,0,4.76596940834569e-05,12589.2541179417,89.1430396296564
"3","1002-53-5","Dibutylstannane",451,54,0.001,0.00392,0.009996,0.277056124168514,0.05,10,0.001,0.0015,0.00392,0.01,0.410167662971175,0.05,10,0,0,0,2.29998913929861,0,69.7222055240671,0,0,0,0.0100249448548344,0,0.340807318866545,0,0,0,5.54149361158731,0,188.388226332279,0,0,0,0.0100249448548344,0,0.340807318866545,19.9526231496888,0.0360956739833952
"4","100-41-4","Ethylbenzene",2367,152,0.005,0.05,0.1,0.433949091677229,0.5,10,0.005,0.005,0.05,0.1,0.449147549640896,0.5,10,0,0,0,3.22792479763062e-05,0,0.0173294853078482,0,0,0,9.72948108667949e-07,0,0.000517895943603441,0,0,0,0.000141753850876375,0,0.0754549432852608,0,0,0,9.72948108667949e-07,0,0.000517895943603441,17378.0082874938,119.276479553833
"5","100-42-5","Styrene",874,42,0.005,0.1,0.1,0.177643020594966,0.2625,5,0.005,0.005,0.1,0.1,0.195199771167048,0.3,5,0,0,0,3.51985398113935e-05,0,0.00380287527524555,0,0,0,1.10583713846442e-06,0,0.000174325810809008,0,0,0,0.000158831398107094,0,0.0250384177686381,0,0,0,1.10583713846442e-06,0,0.000174325810809008,17782.7941003892,123.80974024177
"6","10061-01-5","(Z)-1,3-dichloropropene",769,2,0.005,0.1,0.4,0.692464239271782,1,2.5,0.005,0.005,0.1,0.4,0.695845253576073,1,2.5,0,0,0,6.1558100322365e-05,0,0.0325508049986046,0,0,0,1.78762073817885e-06,0,0.000817377504013779,0,0,0,0.000268485336763689,0,0.122763106145084,0,0,0,1.78762073817885e-06,0,0.000817377504013779,2691.53480392692,17.9206935135708
"7","10061-02-6","TRANS-D",255,1,0.005,0.1,0.1,0.224725490196078,0.25,2.5,0.005,0.005,0.1,0.1,0.232960784313725,0.25,2.5,0,0,0,2.35113057822448e-06,0,0.000599538297447242,0,0,0,1.33623394572842e-06,0,0.000340739656160746,0,0,0,1.95188198946938e-05,0,0.00497729907314691,0,0,0,1.33623394572842e-06,0,0.000340739656160746,6456.54229034656,442.006792774267
"8","1014-69-3","Desmetryn",1462,15,0.001,0.01,0.02,0.0151456908344733,0.02,0.05,0.001,0.005,0.01,0.02,0.0155927496580027,0.02,0.25,0,0,0,9.41685838536292e-06,0,0.00221732682998358,0,0,0,5.37820806532297e-08,0,2.51448425988595e-05,0,0,0,3.35935631218443e-05,0,0.015706065045717,0,0,0,5.37820806532297e-08,0,2.51448425988595e-05,6760.82975391982,10.8238441331528
"9","1024-57-3","Heptachlor epoxide",1010,17,5e-05,0.001,0.002,0.00332465346534653,0.005,0.01,5e-05,5e-05,0.001,0.002,0.00332809732673267,0.005,0.01,0,0,0,0.00113702868272831,0,0.104385210150922,0,0,0,4.16860955565422e-06,0,0.000610429051842867,0,0,0,0.00235238788935162,0,0.344471193498042,0,0,0,4.16860955565422e-06,0,0.000610429051842867,1.62181009735893,0.00287397036003716
"10","10265-92-6","Methamidophos",623,1,6e-04,0.01,0.03,0.0480147672552167,0.1,0.1,6e-04,6e-04,0.01,0.03,0.0483518459069021,0.1,0.25,0,0,0,2.38931976709323e-06,0,0.00148854621489908,0,0,0,7.80967944153578e-09,0,4.86543029207679e-06,0,0,0,5.1199709294855e-06,0,0.00318974188906946,0,0,0,7.80967944153578e-09,0,4.86543029207679e-06,6165.95001861482,9.40514970907311
"11","103-65-1","Propyl benzene",303,5,0.005,0.1,0.1,0.147145214521452,0.1,0.5,0.005,0.005,0.1,0.1,0.15486798679868,0.1,2.1,0,0,0,8.43250336050383e-05,0,0.0205582133128908,0,0,0,4.63977991081146e-06,0,0.00118091678289973,0,0,0,0.000665185184523742,0,0.169302933164983,0,0,0,4.63977991081146e-06,0,0.00118091678289973,1778.27941003892,12.4038016397128
"12","104-40-5","4-Nonylphenol",3352,152,0.001,0.05,0.1,0.0900176014319809,0.1,0.3,0.001,0.001,0.05,0.1,0.0959164976133652,0.1,2.4,0,0,0,0.00372690219615689,0,0.549686999522777,0,0,0,4.3522989902019e-05,0,0.0123086732157928,0,0,0,0.0102336670631072,0,2.89416843747596,0,0,0,4.3522989902019e-05,0,0.0123086732157928,194.984459975805,0.829253739665917
