"","CAS.y","Substance","Chem.Group","class1"
"1","7439-89-6","Iron","Metal","Metal"
"2","7429-90-5","Aluminum","Metal","Metal"
"3","7439-95-4","Magnesium","Metal","Metal"
"4","1002-53-5","Dibutylstannane","Industrial","Banned_Listed"
"5","191-24-2","Benzo(ghi)peryleen","PAH","PAH"
"6","7440-22-4","Silver","Metal","Metal"
"7","7440-66-6","Zinc","Metal","Metal"
"8","7440-50-8","Copper","Metal","Metal"
"9","7440-02-0","Nickel","Metal","Metal"
"10","2921-88-2","Chlorpyrifos","Pest","Banned_Listed"
"11","115-29-7","Endosulfan","Pest","Banned_Listed"
"12","7439-96-5","Manganese","Metal","Metal"
"13","205-99-2","Benzo(b)fluorantheen","PAH","PAH"
"14","56-55-3","Benzo(a)anthracene","PAH","PAH"
"15","7440-32-6","Titanium","Metal","Metal"
"16","7440-38-2","Arsenic","Metal","Metal"
"17","53-70-3","Dibenz(a,h)anthracene","PAH","PAH"
"18","7440-62-2","Vanadium","Metal","Metal"
"19","7440-61-1","Uranium","Metal","Metal"
"20","138261-41-3","imidacloprid","Pest","Banned_Listed"
"21","83905-01-5","Azitromycin","Pharma","Current_Use"
"22","7440-47-3","Chromium","Metal","Metal"
"23","7440-48-4","Cobalt","Metal","Metal"
"24","64902-72-3","Chlorsulfuron","Pest","Banned_Listed"
"25","7440-41-7","Beryllium","Metal","Metal"
"26","7439-92-1","Lead","Metal","Metal"
"27","7439-97-6","Mercury","Metal","Metal"
"28","5466-77-3","2-ethylhexyl 4-methoxycinnamate","Industrial","Current_Use"
"29","15687-27-1","Ibuprofen","Pharma","Current_Use"
"30","53-16-7","Estrone","Pharma","Current_Use"
"31","193-39-5","indeno(123cd)pyreen","PAH","PAH"
"32","55-38-9","Fenthion","Pest","Banned_Listed"
"33","207-08-9","Benzo(k)fluorantheen","PAH","PAH"
"34","84852-15-3","4-Nonylphenol, Branched","Industrial","Banned_Listed"
"35","7440-43-9","Cadmium","Metal","Metal"
"36","7440-42-8","Boron","Metal","Metal"
"37","121-75-5","Malathion","Pest","Current_Use"
"38","16984-48-8","Fluoride","Pharma","Current_Use"
"39","7440-28-0","Thallium","Metal","Metal"
"40","137-26-8","Thiram","Pest","Banned_Listed"
"41","84-69-5","Diisobutyl phthalate","Industrial","Banned_Listed"
"42","1563-66-2","Carbofuran","Pest","Banned_Listed"
"43","1333-82-0","Chromium oxide","Metal","Metal"
"44","114-07-8","Erythromycin","Pharma","Current_Use"
"45","129-00-0","Pyrene","PAH","PAH"
"46","50-32-8","Benzo(a)pyreen","PAH","PAH"
"47","50-28-2","Estradiol","Pharma","Current_Use"
"48","81103-11-9","Klaritromycin","Pharma","Current_Use"
"49","7440-39-3","Barium","Metal","Metal"
"50","3380-34-5","Triclosan","Pharma","Current_Use"
"51","7440-36-0","Antimony","Metal","Metal"
"52","35554-44-0","Imazalil","Pest","Current_Use"
"53","120-12-7","Anthracene","PAH","PAH"
"54","1806-26-4","Octylphenol","Industrial","Current_Use"
"55","333-41-5","Diazinon","Pest","Banned_Listed"
"56","140-66-9","4-(1,1,3,3-Tetramethylbutyl)phenol","Industrial","Banned_Listed"
"57","117-81-7","Bis(2-ethylhexyl) phthalate","Industrial","Banned_Listed"
"58","85-68-7","Benzyl butyl phthalate","Industrial","Banned_Listed"
"59","34123-59-6","Isoproturon","Pest","Banned_Listed"
"60","330-54-1","diuron","Pest","Banned_Listed"
"61","206-44-0","Fluoranthene","PAH","PAH"
"62","15307-86-5","Diclofenac","Pharma","Current_Use"
"63","60-00-4","Edetic acid","Pharma","Current_Use"
"64","5915-41-3","Terbuthylazine","Pest","Current_Use"
"65","40487-42-1","Pendimethalin","Pest","Current_Use"
"66","122-14-5","Fenitrothion","Pest","Banned_Listed"
"67","84-74-2","Dibutyl phthalate","Industrial","Banned_Listed"
"68","886-50-0","Terbutryn","Pest","Banned_Listed"
"69","210880-92-5","Clothianidin","Pest","Banned_Listed"
"70","50-29-3","DDT","Pest","Banned_Listed"
"71","28159-98-0","Irgarol","Pharma","Banned_Listed"
"72","58-89-9","Lindane","Pest","Banned_Listed"
"73","7782-49-2","Selenium","Metal","Metal"
"74","72-43-5","Methoxychlor","Pest","Banned_Listed"
"75","723-46-6","Sulfametoxazol","Pharma","Current_Use"
"76","111988-49-9","Thiacloprid","Pest","Current_Use"
"77","108-38-3","m-xylene","Industrial","Current_Use"
"78","32534-81-9","PBDE","Industrial","Current_Use"
"79","25637-99-4","Hexabromocyclododecane","Industrial","Banned_Listed"
"80","142459-58-3","Flufenacet","Pest","Current_Use"
"81","7439-93-2","Lithium","Metal","Metal"
"82","7440-31-5","Tin","Metal","Metal"
"83","104-40-5","4-Nonylphenol","Industrial","Banned_Listed"
