"","LOQ.type","Exclusion.CAS","Group_AF1_Chronic","N","Substance","HQmax","N1-#HQ>1","N2-#HQ>0.5","N3-#HQ>0.1","freq","Chem.Group","class"
"1","LOQ.T0","Refined_Metals_PAH","I",2700,"Isoproturon",2.60363642717983,10,26,104,0.0518518518518519,"Pest","Banned_Listed"
"2","LOQ.T0","Refined_Metals_PAH","I",2700,"Aluminum",68.998645502058,1167,1265,1282,0.475555555555556,"Metal","Metal"
"3","LOQ.T0","Refined_Metals_PAH","I",2700,"Iron",308.424778116155,2054,2080,2129,0.803703703703704,"Metal","Metal"
"4","LOQ.T0","Refined_Metals_PAH","I",2700,"Magnesium",168.981215817232,1755,1794,1811,0.674074074074074,"Metal","Metal"
"5","LOQ.T0","Refined_Metals_PAH","I",2700,"Nickel",20.2634747875168,79,125,185,0.0707407407407407,"Metal","Metal"
"6","LOQ.T0","Refined_Metals_PAH","I",2700,"Copper",8.88357740008339,85,214,361,0.152222222222222,"Metal","Metal"
"7","LOQ.T0","Refined_Metals_PAH","I",2700,"Zinc",31.5795568834606,657,828,921,0.344444444444444,"Metal","Metal"
"8","LOQ.T0","Refined_Metals_PAH","IIIA",1,"Magnesium",0.787671193435905,0,1,1,1,"Metal","Metal"
"9","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Benzo(b)fluorantheen",0.133686896551724,0,0,1,0.4,"PAH","Banned_Listed"
"10","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Irgarol",0.134536805065372,0,0,1,0.2,"Pharma","Banned_Listed"
"11","LOQ.T0","Refined_Metals_PAH","IIIB",5,"diuron",0.205788477802489,0,0,1,0.2,"Pest","Banned_Listed"
"12","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Diazinon",0.385188989715601,0,0,1,0.2,"Pest","Banned_Listed"
"13","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Isoproturon",0.238749438963659,0,0,2,0.4,"Pest","Banned_Listed"
"14","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Tributyltin (kation)",0.374507343002615,0,0,1,0.2,"Industrial","Banned_Listed"
"15","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Parathion-ethyl",0.145181928683919,0,0,1,0.2,"Pest","Banned_Listed"
"16","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Magnesium",0.729650293966063,0,1,1,0.2,"Metal","Metal"
"17","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Titanium",0.202549238065052,0,0,1,0.2,"Metal","Metal"
"18","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Chromium",0.27551626363464,0,0,1,0.2,"Metal","Metal"
"19","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Copper",0.172449727640293,0,0,1,0.2,"Metal","Metal"
"20","LOQ.T0","Refined_Metals_PAH","IIIB",5,"Zinc",0.359892216827309,0,0,1,0.2,"Metal","Metal"
"21","LOQ.T0","Excluded_Metals","I",545,"Erythromycin",11.7276297453911,13,25,62,0.113761467889908,"Pharma","Current_Use"
"22","LOQ.T0","Excluded_Metals","I",545,"Diclofenac",4.06863563979521,33,96,220,0.43302752293578,"Pharma","Current_Use"
"23","LOQ.T0","Excluded_Metals","I",545,"Ibuprofen",5.68991848241726,60,141,251,0.475229357798165,"Pharma","Current_Use"
"24","LOQ.T0","Excluded_Metals","I",545,"Chlorpyrifos",27.2139764475457,54,138,159,0.295412844036697,"Pest","Banned_Listed"
"25","LOQ.T0","Excluded_Metals","I",545,"diuron",2.90033135902883,4,13,41,0.137614678899083,"Pest","Banned_Listed"
"26","LOQ.T0","Excluded_Metals","I",545,"Isoproturon",2.60363642717983,12,25,82,0.201834862385321,"Pest","Banned_Listed"
"27","LOQ.T0","Excluded_Metals","I",545,"Tributyltin (kation)",24.8423453863297,18,23,31,0.0568807339449541,"Industrial","Banned_Listed"
"28","LOQ.T0","Excluded_Metals","I",545,"DDT",51.4579596593634,6,8,15,0.0532110091743119,"Pest","Banned_Listed"
"29","LOQ.T0","Excluded_Metals","I",545,"Metolachlor",3.57418753941043,8,12,22,0.0623853211009174,"Pest","Current_Use"
"30","LOQ.T0","Excluded_Metals","I",545,"Caffeine",1.90467591762533,8,35,111,0.203669724770642,"Pharma","Current_Use"
"31","LOQ.T0","Excluded_Metals","I",545,"Azitromycin",1.78584601355207,4,6,29,0.0532110091743119,"Pharma","Current_Use"
