"","LOQ.type","Exclusion.CAS","Group_AF1_Chronic","N","Substance","HQmax","N1-#HQ>1","N2-#HQ>0.5","N3-#HQ>0.1","freq","Chem.Group","class"
"1","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Chlorpyrifos",513.050375650452,234,241,265,0.0500945179584121,"Pest","Banned_Listed"
"2","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"diuron",18.7781985994771,61,97,306,0.0703213610586011,"Pest","Banned_Listed"
"3","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Isoproturon",24.4826697410007,544,617,738,0.141398865784499,"Pest","Banned_Listed"
"4","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Aluminum",1482.39558725689,1472,1532,1542,0.291493383742911,"Metal","Metal"
"5","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Iron",2589.6369969443,2739,2750,2800,0.537240075614367,"Metal","Metal"
"6","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Lead",3.42074198514682,34,67,245,0.0508506616257089,"Metal","Metal"
"7","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Magnesium",256.719511857175,1750,1775,1786,0.339319470699433,"Metal","Metal"
"8","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Nickel",65.619594939685,505,611,741,0.141776937618147,"Metal","Metal"
"9","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Arsenic",40.2726634904595,80,140,300,0.064461247637051,"Metal","Metal"
"10","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Chromium",7.72048308489411,70,145,321,0.0680529300567108,"Metal","Metal"
"11","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Copper",44.7744402164262,701,899,1078,0.211531190926276,"Metal","Metal"
"12","LOQ.T0","Refined_HQ_Metals_PAH","I",5290,"Zinc",274.716958529243,1961,2060,2103,0.399243856332703,"Metal","Metal"
"13","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Bis(2-ethylhexyl) phthalate",0.95566196439536,0,5,11,0.0533807829181495,"Industrial","Banned_Listed"
"14","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"diuron",0.972350557616761,0,16,66,0.291814946619217,"Pest","Banned_Listed"
"15","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Isoproturon",0.998406744757119,0,126,145,0.526690391459075,"Pest","Banned_Listed"
"16","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Tributyltin (kation)",0.973719091806799,0,16,33,0.124555160142349,"Industrial","Banned_Listed"
"17","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Metolachlor",0.929288760246711,0,8,19,0.106761565836299,"Pest","Current_Use"
"18","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Lead",0.979180392111194,0,5,27,0.103202846975089,"Metal","Metal"
"19","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Nickel",0.983817883184058,0,11,25,0.0889679715302491,"Metal","Metal"
"20","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Arsenic",0.989471790926411,0,4,17,0.0747330960854092,"Metal","Metal"
"21","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Cadmium",0.864954091633182,0,2,19,0.0818505338078292,"Metal","Metal"
"22","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Chromium",0.972804309764363,0,9,28,0.124555160142349,"Metal","Metal"
"23","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Copper",0.945724038184791,0,15,31,0.110320284697509,"Metal","Metal"
"24","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",281,"Zinc",0.975086550082709,0,25,29,0.103202846975089,"Metal","Metal"
"25","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Benzo(ghi)peryleen",0.815625,0,8,43,0.0713101160862355,"PAH","Banned_Listed"
"26","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"indeno(123cd)pyreen",0.84375,0,7,65,0.107794361525705,"PAH","Banned_Listed"
"27","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Benzo(b)fluorantheen",0.972413793103448,0,25,222,0.384742951907131,"PAH","Banned_Listed"
"28","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Chlorpyrifos",0.780728832511557,0,17,63,0.109452736318408,"Pest","Banned_Listed"
"29","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"diuron",0.771706791759334,0,15,109,0.185737976782753,"Pest","Banned_Listed"
"30","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Isoproturon",0.998406744757119,0,95,289,0.482587064676617,"Pest","Banned_Listed"
"31","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Tributyltin (kation)",0.823916154605753,0,21,85,0.142620232172471,"Industrial","Banned_Listed"
"32","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"DDT",0.993048344303504,0,10,51,0.0862354892205638,"Pest","Banned_Listed"
"33","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Benzo(a)pyreen",0.910344827586207,0,18,164,0.278606965174129,"PAH","Banned_Listed"
"34","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Endrin",0.917071639523415,0,9,32,0.0530679933665008,"Pest","Banned_Listed"
"35","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Lead",0.973742615734723,0,11,30,0.0514096185737977,"Metal","Metal"
"36","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Nickel",0.983817883184058,0,17,54,0.0895522388059701,"Metal","Metal"
"37","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Arsenic",0.989471790926411,0,6,46,0.0779436152570481,"Metal","Metal"
"38","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Chromium",0.964432499869661,0,16,52,0.0895522388059701,"Metal","Metal"
"39","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Copper",0.869455970589243,0,30,63,0.104477611940299,"Metal","Metal"
"40","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",603,"Zinc",0.904288186710367,0,36,51,0.0845771144278607,"Metal","Metal"
"41","LOQ.T0","Excluded_Metals","I",1722,"Bis(2-ethylhexyl) phthalate",5.91315840469629,33,40,75,0.0580720092915215,"Industrial","Banned_Listed"
"42","LOQ.T0","Excluded_Metals","I",1722,"Diclofenac",32.1783347398374,142,198,287,0.168989547038328,"Pharma","Current_Use"
"43","LOQ.T0","Excluded_Metals","I",1722,"Ibuprofen",43.5175409745106,242,292,343,0.199767711962834,"Pharma","Current_Use"
"44","LOQ.T0","Excluded_Metals","I",1722,"Benzo(b)fluorantheen",5.17241379310345,27,46,174,0.173054587688734,"PAH","Banned_Listed"
"45","LOQ.T0","Excluded_Metals","I",1722,"Chlorpyrifos",513.050375650452,303,334,369,0.214285714285714,"Pest","Banned_Listed"
"46","LOQ.T0","Excluded_Metals","I",1722,"diuron",18.7781985994771,77,121,342,0.24274099883856,"Pest","Banned_Listed"
"47","LOQ.T0","Excluded_Metals","I",1722,"Isoproturon",24.4826697410007,583,632,736,0.435540069686411,"Pest","Banned_Listed"
"48","LOQ.T0","Excluded_Metals","I",1722,"Tributyltin (kation)",70.4073804844917,114,124,152,0.09465737514518,"Industrial","Banned_Listed"
"49","LOQ.T0","Excluded_Metals","I",1722,"Benzo(a)pyreen",5.86206896551724,15,30,111,0.117305458768873,"PAH","Banned_Listed"
"50","LOQ.T0","Excluded_Metals","I",1722,"Metolachlor",8.93546884852606,52,62,119,0.0929152148664344,"Pest","Current_Use"
"51","LOQ.T0","Excluded_Metals","I",1722,"Caffeine",8.63518039834736,81,119,158,0.0917537746806039,"Pharma","Current_Use"
"52","LOQ.T0","Excluded_Metals","I",1722,"Terbuthylazine",3.94457558918074,22,34,74,0.0853658536585366,"Pest","Current_Use"
"53","LOQ.T0","Excluded_Metals","IIIA",270,"Bis(2-ethylhexyl) phthalate",0.95566196439536,0,4,16,0.0703703703703704,"Industrial","Banned_Listed"
"54","LOQ.T0","Excluded_Metals","IIIA",270,"Diclofenac",0.818448948817605,0,1,13,0.0555555555555556,"Pharma","Current_Use"
"55","LOQ.T0","Excluded_Metals","IIIA",270,"Ibuprofen",0.957385901439233,0,12,17,0.0666666666666667,"Pharma","Current_Use"
"56","LOQ.T0","Excluded_Metals","IIIA",270,"Chlorpyrifos",0.959181137085627,0,28,31,0.118518518518519,"Pest","Banned_Listed"
"57","LOQ.T0","Excluded_Metals","IIIA",270,"diuron",0.972350557616761,0,20,74,0.355555555555556,"Pest","Banned_Listed"
"58","LOQ.T0","Excluded_Metals","IIIA",270,"Isoproturon",0.998406744757119,0,148,164,0.625925925925926,"Pest","Banned_Listed"
"59","LOQ.T0","Excluded_Metals","IIIA",270,"Tributyltin (kation)",0.973719091806799,0,15,27,0.107407407407407,"Industrial","Banned_Listed"
"60","LOQ.T0","Excluded_Metals","IIIA",270,"Metolachlor",0.965030635640815,0,13,26,0.148148148148148,"Pest","Current_Use"
"61","LOQ.T0","Excluded_Metals","IIIA",270,"Deethylatrazine",0.575776056579789,0,2,5,0.0518518518518519,"Pest","Banned_Listed"
"62","LOQ.T0","Excluded_Metals","IIIA",270,"Terbutryn",0.620925064620916,0,1,8,0.062962962962963,"Pest","Banned_Listed"
"63","LOQ.T0","Excluded_Metals","IIIB",975,"Bis(2-ethylhexyl) phthalate",0.943716189840418,0,5,51,0.0574358974358974,"Industrial","Banned_Listed"
"64","LOQ.T0","Excluded_Metals","IIIB",975,"Diclofenac",0.944364171712621,0,54,262,0.272820512820513,"Pharma","Current_Use"
"65","LOQ.T0","Excluded_Metals","IIIB",975,"Ibuprofen",0.983496426023939,0,138,305,0.313846153846154,"Pharma","Current_Use"
"66","LOQ.T0","Excluded_Metals","IIIB",975,"Benzo(ghi)peryleen",0.815625,0,8,60,0.0625641025641026,"PAH","Banned_Listed"
"67","LOQ.T0","Excluded_Metals","IIIB",975,"indeno(123cd)pyreen",0.84375,0,9,79,0.081025641025641,"PAH","Banned_Listed"
"68","LOQ.T0","Excluded_Metals","IIIB",975,"Benzo(b)fluorantheen",0.972413793103448,0,43,319,0.346666666666667,"PAH","Banned_Listed"
"69","LOQ.T0","Excluded_Metals","IIIB",975,"Chlorpyrifos",0.925721329977989,0,58,147,0.152820512820513,"Pest","Banned_Listed"
"70","LOQ.T0","Excluded_Metals","IIIB",975,"diuron",0.874601030660579,0,18,143,0.148717948717949,"Pest","Banned_Listed"
"71","LOQ.T0","Excluded_Metals","IIIB",975,"Isoproturon",0.998406744757119,0,112,345,0.358974358974359,"Pest","Banned_Listed"
"72","LOQ.T0","Excluded_Metals","IIIB",975,"Tributyltin (kation)",0.771485126585387,0,18,72,0.0738461538461539,"Industrial","Banned_Listed"
"73","LOQ.T0","Excluded_Metals","IIIB",975,"DDT",0.993048344303504,0,11,52,0.0543589743589744,"Pest","Banned_Listed"
"74","LOQ.T0","Excluded_Metals","IIIB",975,"Benzo(a)pyreen",0.910344827586207,0,31,243,0.259487179487179,"PAH","Banned_Listed"
"75","LOQ.T0","Excluded_Metals","IIIB",975,"Metolachlor",0.902482353701133,0,30,68,0.0697435897435897,"Pest","Current_Use"
"76","LOQ.T0","Excluded_Metals","IIIB",975,"Caffeine",0.983379499095379,0,77,193,0.197948717948718,"Pharma","Current_Use"
"77","LOQ.T0","Excluded_Metals","IIIB",975,"Terbuthylazine",0.840194600495497,0,7,55,0.0594871794871795,"Pest","Current_Use"
