"","LOQ.type","Exclusion.CAS","Group_AF1_Chronic","N.Sample","N.Site.Mean","Perc.Mean","N.Site.Max","Perc.Max"
"1","LOQ.T0","Excluded_None","I",4117,2352,"57.13%",2909,"70.66%"
"2","LOQ.T0","Excluded_None","II",4117,1458,"35.41%",1008,"24.48%"
"3","LOQ.T0","Excluded_None","IIIA",4117,204,"4.96%",81,"1.97%"
"4","LOQ.T0","Excluded_None","IIIB",4117,103,"2.50%",119,"2.89%"
"5","LOQ.T0","Refined_HQ_Metals_PAH","I",4117,2019,"49.04%",2516,"61.11%"
"6","LOQ.T0","Refined_HQ_Metals_PAH","II",4117,1947,"47.29%",1317,"31.99%"
"7","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",4117,81,"1.97%",86,"2.09%"
"8","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",4117,70,"1.70%",198,"4.81%"
"9","LOQ.T0","Excluded_Metals","I",4117,240,"5.83%",902,"21.91%"
"10","LOQ.T0","Excluded_Metals","II",4117,3561,"86.50%",2419,"58.76%"
"11","LOQ.T0","Excluded_Metals","IIIA",4117,74,"1.80%",135,"3.28%"
"12","LOQ.T0","Excluded_Metals","IIIB",4117,242,"5.88%",661,"16.06%"
"13","LOQ.T0","Current_Use","I",4117,101,"2.45%",422,"10.25%"
"14","LOQ.T0","Current_Use","II",4117,3887,"94.41%",3356,"81.52%"
"15","LOQ.T0","Current_Use","IIIA",4117,39,"0.95%",86,"2.09%"
"16","LOQ.T0","Current_Use","IIIB",4117,90,"2.19%",253,"6.15%"
"17","LOQ.T1","Excluded_None","I",4117,3749,"91.06%",3911,"95.00%"
"18","LOQ.T1","Excluded_None","II",4117,97,"2.36%",64,"1.55%"
"19","LOQ.T1","Excluded_None","IIIA",4117,5,"0.12%",3,"0.07%"
"20","LOQ.T1","Excluded_None","IIIB",4117,266,"6.46%",139,"3.38%"
"21","LOQ.T1","Refined_HQ_Metals_PAH","I",4117,3646,"88.56%",3724,"90.45%"
"22","LOQ.T1","Refined_HQ_Metals_PAH","II",4117,125,"3.04%",89,"2.16%"
"23","LOQ.T1","Refined_HQ_Metals_PAH","IIIA",4117,4,"0.10%",5,"0.12%"
"24","LOQ.T1","Refined_HQ_Metals_PAH","IIIB",4117,342,"8.31%",299,"7.26%"
"25","LOQ.T1","Excluded_Metals","I",4117,3092,"75.10%",3235,"78.58%"
"26","LOQ.T1","Excluded_Metals","II",4117,344,"8.36%",261,"6.34%"
"27","LOQ.T1","Excluded_Metals","IIIA",4117,9,"0.22%",8,"0.19%"
"28","LOQ.T1","Excluded_Metals","IIIB",4117,672,"16.32%",613,"14.89%"
"29","LOQ.T1","Current_Use","I",4117,204,"4.96%",515,"12.51%"
"30","LOQ.T1","Current_Use","II",4117,3410,"82.83%",2946,"71.56%"
"31","LOQ.T1","Current_Use","IIIA",4117,54,"1.31%",87,"2.11%"
"32","LOQ.T1","Current_Use","IIIB",4117,449,"10.91%",569,"13.82%"
